ID Caso,Año,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
288627,1982,CALDONO,CAUCA,NORTE DEL CAUCA,ASALTO,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,7,0,0,,,4,ARMA DE FUEGO,POINT (-76.4844478583 2.7981308256)
288628,1982,VALDIVIA,ANTIOQUIA,NORTE DE ANTIOQUIA,ASALTO,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-75.3874207862 7.2949178968)
288629,1982,YACOPI,CUNDINAMARCA,MAGDALENA MEDIO,FALSO POSITIVO,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,1,1,,,6,ARMA DE FUEGO,POINT (-74.3380243467 5.4592903412)
288631,1982,PUERTO BOYACA,BOYACA,MAGDALENA MEDIO,DESCONOCIDA,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,OCULTAMIENTO DE CADAVER,9,,POINT (-74.5879991859 5.9779349517)
288634,1982,BOLIVAR,SANTANDER,MAGDALENA MEDIO,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-73.7713464124 5.9889526163)
288635,1982,REMEDIOS,ANTIOQUIA,NORDESTE ANTIOQUEÑO,FALSO POSITIVO,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,,8,ARMA DE FUEGO,POINT (-74.591737397 7.1745293732)
288637,1982,CIMITARRA,SANTANDER,MAGDALENA MEDIO,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,9,ARMA DE FUEGO,POINT (-74.396297471 6.4825778357)
288640,1982,CIMITARRA,SANTANDER,MAGDALENA MEDIO,DESCONOCIDA,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,6,ARMA DE FUEGO,POINT (-73.9525821232 6.3206818675)
288641,1982,COCORNA,ANTIOQUIA,ORIENTE ANTIOQUEÑO,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-75.185481011 6.0583063351)
288642,1982,PUERTO BERRIO,ANTIOQUIA,MAGDALENA MEDIO,DESCONOCIDA,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-74.4099455275 6.4870411404)
