ID Caso,Año,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
439253,2000,SAN ROQUE,ANTIOQUIA,NORDESTE ANTIOQUEÑO,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,,1,1,0,0,1,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-75.019157568 6.4859489363)
439254,1989,APARTADO,ANTIOQUIA,URABA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,1,,,4,,POINT (-76.6259606537 7.8834174058)
439255,2007,TARAZA,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,ASALTO,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-75.4709699627 7.5708677611)
439256,2000,TIBU,NORTE DE SANTANDER,CATATUMBO,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,,0,1,0,0,0,0,0,0,1,,OCULTAMIENTO DE CADÁVER,4,OBJETO CONTUNDENTE - USO DE QUEMICOS Y TIXICOS,POINT (-72.8997210617 8.9982784918)
439257,1999,ANORI,ANTIOQUIA,NORDESTE ANTIOQUEÑO,ENGAÑO,GRUPO PARAMILITAR,,0,1,0,0,0,0,0,0,0,,INTENTO DE RECLUTAMIENTO,4,,POINT (-75.1483484246 7.0747076685)
439258,1990,PUERTO BERRIO,ANTIOQUIA,MAGDALENA MEDIO,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,,0,1,0,0,0,0,0,0,0,,,7,,POINT (-74.4099455275 6.4870411404)
439259,1998,CONCORDIA,ANTIOQUIA,SUROESTE ANTIOQUEÑO,INTERCEPTACIÓN,DESCONOCIDO,,0,0,0,0,0,0,0,0,0,,,4,,POINT (-75.9075047222 6.0465685735)
439260,1994,ANDES,ANTIOQUIA,SUROESTE ANTIOQUEÑO,DESCONOCIDA,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,5,,POINT (-75.8787918873 5.6567748525)
439262,2001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,RETENCIÓN/EJECUCIÓN,DESCONOCIDO,,0,1,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-74.1073590032 4.6501730303)
439263,2002,BUENAVENTURA,VALLE DEL CAUCA,ANDEN PACIFICO SUR,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,,0,0,0,0,0,0,1,0,0,,,4,ARMA DE FUEGO,POINT (-77.0117402003 3.8758024367)
439264,2007,SAN JOSE DEL GUAVIARE,GUAVIARE,ARIARI GUAYABERO,ASALTO,GUERRILLA,,0,0,0,0,0,0,0,0,0,,,4,,POINT (-72.6389862155 2.5664283992)
439265,1998,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,RUTA,GUERRILLA,,0,1,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-73.8499569753 7.064963864)
439266,1991,BUENAVISTA,CORDOBA,ALTO SINU Y SAN JORGE,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,,0,1,0,0,1,0,0,0,0,,,9,,POINT (-75.4808987065 8.2211655542)
439267,2002,RIOSUCIO,CHOCO,URABA,DESCONOCIDA,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,4,,POINT (-77.1131095942 7.4366315522)
439269,1997,UNGUIA,CHOCO,URABA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,9,,POINT (-77.0553279522 8.1632743972)
439271,1995,GUADUAS,CUNDINAMARCA,NOROCCIDENTE DE CUNDINAMARCA,RETENCIÓN/EJECUCIÓN,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,1,,,4,ARMA DE FUEGO,POINT (-74.6029562704 5.0718705327)
439273,1988,TARAZA,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,DESCONOCIDA,GUERRILLA,,0,0,0,0,0,0,0,0,0,,,5,,POINT (-75.522805335 7.6412408804)
439276,2003,PUERTO RICO,META,ARIARI GUAYABERO,ASALTO,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,6,,POINT (-73.2065133275 2.9397436759)
439277,2002,TIBU,NORTE DE SANTANDER,CATATUMBO,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,OCULTAMIENTO DE CADÁVER,4,,POINT (-72.7359186314 8.6395488525)
439281,1992,TURBO,ANTIOQUIA,URABA,DESCONOCIDA,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,7,ARMA DE FUEGO,POINT (-76.7291584376 8.089116411)
439282,2002,MEDIO BAUDO,CHOCO,LITORAL PACIFICO,ASALTO,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,1,1,0,,,7,ARMA CORTO PUNZANTE,POINT (-76.9496060384 5.1935639537)
439283,2002,POLICARPA,NARIÑO,PATIA,DESCONOCIDA,GRUPO PARAMILITAR,,0,1,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-77.4813435899 1.7353542016)
439285,2004,SANTA ROSALIA,VICHADA,ALTILLANURA,ASALTO,GRUPO PARAMILITAR,,1,0,0,0,1,0,0,1,1,,OCULTAMIENTO DE CADÁVER,6,,POINT (-70.859741339 5.1364313857)
439286,2006,SABANA DE TORRES,SANTANDER,MAGDALENA MEDIO,ASALTO,GUERRILLA,,0,1,0,0,0,0,0,0,1,,,6,ARMA DE FUEGO,POINT (-73.4990501608 7.3919119442)
439287,1989,SAN SEBASTIAN DE BUENAVISTA,MAGDALENA,SUR DE MAGDALENA,DESCONOCIDA,GUERRILLA,,0,0,0,0,0,0,1,0,0,,,4,ARMA DE FUEGO,POINT (-74.3516751417 9.2405052497)
439291,1997,SAN ANTONIO,TOLIMA,SUR DEL TOLIMA,ASALTO,GRUPO ARMADO NO IDENTIFICADO,,0,1,0,0,1,0,0,0,1,,,5,ARMA DE FUEGO - OBJETO CONTUNDENTE,POINT (-75.480906706 3.912976052)
439292,2001,ALEJANDRIA,ANTIOQUIA,ORIENTE ANTIOQUEÑO,ASALTO,GRUPO PARAMILITAR,,1,1,0,0,1,0,0,0,0,,,11,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-75.1413329006 6.3760656759)
439303,1959,GENOVA,QUINDIO,EJE CAFETERO,RUTA,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,0,,,9,ARMA CORTO PUNZANTE,POINT (-75.7898166081 4.2074778878)
439304,1959,SALENTO,QUINDIO,EJE CAFETERO,ASALTO,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,0,,,9,ARMA DE FUEGO,POINT (-75.570844186 4.637156761)
439307,1959,CALARCA,QUINDIO,EJE CAFETERO,INTERCEPTACIÓN,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,14,0,0,,,18,ARMA DE FUEGO - ARTEFACTO EXPLOSIVO,POINT (-75.6490883624 4.515281846)
439310,1959,TRUJILLO,VALLE DEL CAUCA,CENTRO DEL VALLE,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,3,0,0,,,5,,POINT (-76.3188089387 4.2120508064)
439311,2003,ARAUQUITA,ARAUCA,SARARE,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,1,0,0,0,,,8,,POINT (-71.426751178 7.0269814147)
439312,2013,SAN ANDRES DE TUMACO,NARIÑO,ANDEN PACIFICO SUR,RETENCIÓN/EJECUCIÓN,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,1,,,4,ARMA DE FUEGO,POINT (-78.7638541478 1.8071172501)
439315,2004,PIOJO,ATLANTICO,OCCIDENTE DE ATLANTICO,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,,0,1,0,0,1,0,0,0,0,,,7,,POINT (-75.1074701179 10.7493444169)
439316,1994,VALLEDUPAR,CESAR,SIERRA NEVADA DE SANTA MARTA,RUTA,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,1,,,11,ARMA DE FUEGO - OBJETO CONTUNDENTE,POINT (-73.259389309 10.4604812152)
439318,2001,TIERRALTA,CORDOBA,URABA,ASALTO,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-76.0596965873 8.1703786843)
439396,1996,OCANA,NORTE DE SANTANDER,CATATUMBO,RETENCIÓN/EJECUCIÓN,GUERRILLA,,0,0,0,0,0,0,0,0,1,,,4,,POINT (-73.3558144029 8.2474537916)
439321,1992,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,RUTA,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,0,,,7,ARMA DE FUEGO,POINT (-73.8499569753 7.064963864)
439323,2000,CUCUTA,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,SICARIATO,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-72.5082561962 7.9053062946)
439326,1987,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,RETENCIÓN/EJECUCIÓN,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,4,0,0,,,10,ARMA DE FUEGO,POINT (-75.581713332 6.246715564)
439327,1985,CALI,VALLE DEL CAUCA,SUR DEL VALLE,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,0,,,18,,POINT (-76.5215651508 3.4144143046)
439329,1998,YOPAL,CASANARE,PIEDEMONTE LLANERO,ASALTO,GRUPO PARAMILITAR,,0,1,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-72.396915159 5.3276126513)
439330,1999,TAMINANGO,NARIÑO,NORTE DE NARIÑO,RETENCIÓN/EJECUCIÓN,GRUPO ARMADO NO IDENTIFICADO,,1,1,0,0,1,0,0,1,1,,,4,ARMA DE FUEGO,POINT (-77.3338573078 1.5680463112)
439331,1992,SIN INFORMACION,SANTANDER,,DESCONOCIDA,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,12,,POINT (-73.486008938 6.693633184)
