ID Caso,ID Caso Relacionado,Año,Mes,Día,Código DANE de Municipio,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
510654,CR2017254461,2001,11,16,47980,ZONA BANANERA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,1,0,0,0,0,0,0,0,,,4,ND,POINT (-74.165952814 10.6500476474)
510997,,1985,11,7,19212,CORINTO,CAUCA,NORTE DEL CAUCA,PERSECUCIÓN,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,0,0,0,0,0,0,0,4,,,4,ND,POINT (-76.2613141858 3.1738154571)
511087,,1973,0,0,68000,SIN INFORMACION,SANTANDER,,OTRA ¿CUÁL?,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,,,10,ND,POINT (-73.486008938 6.693633184)
511099,,2003,3,20,77005,FRONTERA VENEZUELA,EXTERIOR,,INCURSIÓN,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,4,,,5,ARMA DE FUEGO,POINT (-72.73 9.1)
511125,CR020923,1998,12,0,23807,TIERRALTA,CORDOBA,URABA,RUTA,GRUPO PARAMILITAR,NO IDENTIFICADO,0,1,0,0,0,0,0,1,0,,,5,ARMA CORTO PUNZANTE,POINT (-76.0596965873 8.1703786843)
511322,,1984,3,23,5045,APARTADO,ANTIOQUIA,URABA,INCURSIÓN,GUERRILLA,EPL,0,0,0,0,0,0,0,0,0,,,8,ARMA DE FUEGO,POINT (-76.6259606537 7.8834174058)
511446,,1998,1,29,18205,CURILLO,CAQUETA,FLORENCIA Y AREA DE INFLUENCIA,RETENCIÓN/EJECUCIÓN,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-75.9192043462 1.0334737476)
51724,CR021638,1999,2,5,5002,ABEJORRAL,ANTIOQUIA,ORIENTE ANTIOQUEÑO,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,1,0,,,4,ND,POINT (-75.4287380971 5.7893044854)
52040,,2000,5,13,5030,AMAGA,ANTIOQUIA,SUROESTE ANTIOQUEÑO,RUTA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,3,0,0,,,6,ARMA DE FUEGO,POINT (-75.7019460715 6.0388085754)
521854,,1995,10,10,5591,PUERTO TRIUNFO,ANTIOQUIA,MAGDALENA MEDIO,INTERCEPTACIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,1,1,0,0,1,0,0,0,0,,OCULTAMIENTO DE CADÁVER,6,ND,POINT (-74.7352812105 5.8999065649)
